fish_name,scientific_name,family,genus,gear,fisher_ID,date,month,year,village,time_decimal,total_weight,number_fish,total_sold,total_consumed
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,5/8/2016,5,2016,2,3.33,0.025,1,0,0.025
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,2/26/2016,2,2016,1,6,0.392803669,1,0.392803669,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,34,10/26/2016,10,2016,1,5.18,1.964018347,5,1.964018347,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,39,8/20/2017,8,2017,1,3.67,0.06,1,0,0.06
hoditrovy,Bothus sp.,Soleidae,Bothus,1,16,2/24/2017,2,2017,2,3.8,0.095,2,0,0.095
hoditrovy,Bothus sp.,Soleidae,Bothus,1,32,3/18/2016,3,2016,1,5.25,2.356822016,6,2.356822016,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,23,6/19/2016,6,2016,4,2.83,3.095,3,3.095,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,2,3/22/2016,3,2016,1,3.12,0.15,1,0,0.15
hoditrovy,Bothus sp.,Soleidae,Bothus,1,12,4/28/2016,4,2016,1,2.75,0.135,1,0,0.135
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,3/12/2016,3,2016,1,6.27,2.749625686,7,2.749625686,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,36,7/23/2017,7,2017,1,6.92,0.06,1,0,0.06
hoditrovy,Bothus sp.,Soleidae,Bothus,1,5,11/26/2016,11,2016,2,3.25,1.48,1,1.48,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,5,5/30/2016,5,2016,2,4.07,0.39,2,0,0.39
hoditrovy,Bothus sp.,Soleidae,Bothus,1,29,3/18/2016,3,2016,1,3.17,0.235,2,0,0.235
hoditrovy,Bothus sp.,Soleidae,Bothus,1,13,6/15/2016,6,2016,2,5.75,0.265,2,0.265,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,2/24/2017,2,2017,2,2.88,0.035,1,0,0.035
hoditrovy,Bothus sp.,Soleidae,Bothus,1,17,2/26/2016,2,2016,1,4.75,0.045,1,0,0.045
hoditrovy,Bothus sp.,Soleidae,Bothus,1,8,2/22/2017,2,2017,1,3.33,0.08,2,0,0.08
hoditrovy,Bothus sp.,Soleidae,Bothus,1,34,6/8/2017,6,2017,1,6.9,0.075,1,0,0.075
hoditrovy,Bothus sp.,Soleidae,Bothus,1,18,9/17/2017,9,2017,2,5.58,0.42,2,0.42,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,4,3/18/2016,3,2016,1,3.42,0.115,1,0.115,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,5/12/2016,5,2016,2,3.5,0.15,1,0,0.15
hoditrovy,Bothus sp.,Soleidae,Bothus,1,35,3/12/2016,3,2016,1,5.25,2.356822016,6,2.356822016,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,6/29/2016,6,2016,2,5.97,0.22,1,0,0.22
hoditrovy,Bothus sp.,Soleidae,Bothus,1,14,6/20/2016,6,2016,2,5.23,0.345,3,0.345,0
hoditrovy,Bothus sp.,Soleidae,Bothus,8,10,5/26/2016,5,2016,3,2.82,0.11,1,0,0.11
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,5/30/2016,5,2016,2,4.33,0.285,1,0.285,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,8,4/30/2017,4,2017,2,4.08,0.12,1,0,0.12
hoditrovy,Bothus sp.,Soleidae,Bothus,1,10,4/26/2016,4,2016,2,4.33,1.46,9,1.46,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,36,4/28/2016,4,2016,1,4.77,1.178411008,3,1.178411008,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,24,10/26/2016,10,2016,2,3.42,0.225,1,0.225,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,39,5/15/2017,5,2017,1,3.42,0.06,1,0,0.06
hoditrovy,Bothus sp.,Soleidae,Bothus,1,42,7/24/2017,7,2017,1,7.73,0.392803669,1,0.392803669,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,3/26/2016,3,2016,2,4.5,0.155,1,0.155,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,13,11/13/2016,11,2016,3,3.4,0.747,1,0,0.747
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,5/20/2017,5,2017,2,3.17,0.245,3,0.245,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,6/15/2016,6,2016,2,3.92,1.355,8,1.355,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,8,2/24/2017,2,2017,2,5.9,0.11,2,0,0.11
hoditrovy,Bothus sp.,Soleidae,Bothus,8,1,3/12/2016,3,2016,3,2.03,0.28,2,0,0.28
hoditrovy,Bothus sp.,Soleidae,Bothus,1,18,8/9/2016,8,2016,2,5.58,0.42,2,0.42,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,34,10/9/2016,10,2016,1,5.75,0.825,2,0.825,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,57,5/15/2017,5,2017,1,4.83,0.16,2,0,0.16
hoditrovy,Bothus sp.,Soleidae,Bothus,1,34,2/9/2016,2,2016,1,NA,0.392803669,1,0.392803669,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,3,7/22/2016,7,2016,3,5.27,0.26,1,0.26,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,33,2/22/2016,2,2016,1,6.72,3.142429355,8,3.142429355,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,2,2/15/2017,2,2017,1,4.17,0.06,1,0,0.06
hoditrovy,Bothus sp.,Soleidae,Bothus,1,50,2/26/2016,2,2016,1,4.75,0.125,2,0,0.125
hoditrovy,Bothus sp.,Soleidae,Bothus,1,2,2/9/2016,2,2016,1,5.75,0.785607339,2,0.785607339,0
hoditrovy,Bothus sp.,Soleidae,Bothus,8,30,12/13/2016,12,2016,1,6,2.41,1,2.41,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,5/29/2016,5,2016,1,3.7,0.235,1,0,0.235
hoditrovy,Bothus sp.,Soleidae,Bothus,8,36,2/9/2016,2,2016,1,6.75,0.085,1,0,0.085
hoditrovy,Bothus sp.,Soleidae,Bothus,1,13,6/29/2016,6,2016,2,4.75,0.38,3,0.38,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,15,7/22/2016,7,2016,2,3.22,0.9,3,0.9,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,8,6/21/2017,6,2017,2,3.83,0.355,2,0.355,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,1,4/20/2017,4,2017,1,5,0.15,1,0,0.15
hoditrovy,Bothus sp.,Soleidae,Bothus,1,35,2/22/2016,2,2016,1,7.75,3.928036694,10,3.928036694,0
hoditrovy,Bothus sp.,Soleidae,Bothus,8,10,2/11/2017,2,2017,1,4.5,0.392803669,1,0.392803669,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,13,9/26/2016,9,2016,2,3.5,2.055,2,1.505,0.55
hoditrovy,Bothus sp.,Soleidae,Bothus,1,13,6/20/2016,6,2016,2,5.17,0.21,1,0.21,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,13,4/23/2017,4,2017,3,2.57,0.275,2,0,0.275
hoditrovy,Bothus sp.,Soleidae,Bothus,1,17,9/22/2016,9,2016,2,3.75,2.96,1,2.96,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,53,3/23/2017,3,2017,1,4.67,0.095,1,0,0.095
hoditrovy,Bothus sp.,Soleidae,Bothus,1,49,2/22/2016,2,2016,1,5.75,5.499251372,14,5.499251372,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,52,2/11/2017,2,2017,1,3.48,1.571214678,4,1.571214678,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,14,6/29/2016,6,2016,2,4.75,0.225,1,0,0.225
hoditrovy,Bothus sp.,Soleidae,Bothus,1,13,3/25/2017,3,2017,3,2.32,0.105,2,0,0.105
hoditrovy,Bothus sp.,Soleidae,Bothus,1,17,8/22/2016,8,2016,2,4.22,2.555,1,2.555,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,18,10/25/2016,10,2016,4,12,5.083,3,5.083,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,17,10/26/2016,10,2016,2,4.8,1.82,2,1.82,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,10,4/23/2017,4,2017,3,3.52,0.525,2,0.525,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,16,8/22/2016,8,2016,2,6.55,1.77,1,0,1.77
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,4/18/2016,4,2016,2,4.33,0.145,1,0,0.145
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,6/20/2016,6,2016,2,4.17,0.525,3,0.525,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,8,3/29/2017,3,2017,2,3.5,0.195,5,0.195,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,12,4/23/2016,4,2016,1,2.75,0.135,1,0,0.135
hoditrovy,Bothus sp.,Soleidae,Bothus,1,17,7/22/2016,7,2016,2,3.75,0.375,3,0.375,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,4/28/2016,4,2016,1,4.68,2.356822016,6,2.356822016,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,30,3/12/2016,3,2016,1,4.27,1.178411008,3,1.178411008,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,5,6/11/2016,6,2016,3,2.05,0.272,1,0,0.272
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,3/29/2017,3,2017,2,5.08,0.18,4,0.18,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,36,5/23/2017,5,2017,1,7.17,3.142429355,8,3.142429355,0
hoditrovy,Bothus sp.,Soleidae,Bothus,8,3,11/26/2016,11,2016,2,4.58,3.235,3,3.235,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,6,3/23/2017,3,2017,1,3.42,0.06,1,0,0.06
hoditrovy,Bothus sp.,Soleidae,Bothus,1,36,7/8/2016,7,2016,1,6.25,0.795,2,0,0.795
hoditrovy,Bothus sp.,Soleidae,Bothus,8,10,7/22/2016,7,2016,3,5.82,0.325,1,0.325,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,5,10/27/2016,10,2016,2,1.83,2.22,1,0,2.22
hoditrovy,Bothus sp.,Soleidae,Bothus,1,49,2/9/2016,2,2016,1,6.5,1.571214678,4,1.571214678,0
hoditrovy,Bothus sp.,Soleidae,Bothus,1,9,8/22/2016,8,2016,2,3.42,0.29,1,0,0.29
hoditrovy,Bothus sp.,Soleidae,Bothus,1,14,2/22/2017,2,2017,1,6.25,1.571214678,4,1.571214678,0
alaita,Chrysoblephus sp.,Clupeidae,Chrysoblephus,2,46,4/23/2017,4,2017,4,4.5,0.485,2,0,0.485
alaita,Chrysoblephus sp.,Clupeidae,Chrysoblephus,2,3,4/23/2016,4,2016,4,1.5,0.513,2,0,0.513
alaita,Chrysoblephus sp.,Clupeidae,Chrysoblephus,2,14,4/23/2016,4,2016,4,2,0.872,3,0,0.872
alaita,Chrysoblephus sp.,Clupeidae,Chrysoblephus,2,6,3/30/2016,3,2016,4,3.17,1.134,2,0.379,0.755
alaita,Chrysoblephus sp.,Clupeidae,Chrysoblephus,2,31,4/23/2017,4,2017,4,2.83,0.375,1,0.375,0
alaita,Chrysoblephus sp.,Clupeidae,Chrysoblephus,2,20,5/14/2016,5,2016,4,5.33,0.759,5,0.759,0
alaita,Chrysoblephus sp.,Clupeidae,Chrysoblephus,2,13,4/19/2016,4,2016,4,1.5,0.43,2,0.43,0
alovo,Epinephelinae sp.,NA,Epinephelinae,1,5,11/26/2016,11,2016,2,3.25,1.05,1,0,1.05
alovo,Epinephelinae sp.,NA,Epinephelinae,2,11,4/19/2016,4,2016,4,3.5,0.51,2,0.51,0
alovo,Epinephelinae sp.,NA,Epinephelinae,7,5,3/30/2016,3,2016,4,4.33,2.002,2,0,2.002
alovo,Epinephelinae sp.,NA,Epinephelinae,1,23,3/12/2016,3,2016,1,4.75,9.492738095,5,9.492738095,0
alovo,Epinephelinae sp.,NA,Epinephelinae,7,4,3/22/2016,3,2016,2,5.5,0.24,1,0,0.24
alovo,Epinephelinae sp.,NA,Epinephelinae,2,41,2/22/2016,2,2016,1,6.25,1.16,1,0,1.16
alovo,Epinephelinae sp.,NA,Epinephelinae,7,9,11/21/2016,11,2016,4,4.5,15.04,1,15.04,0
alovo,Epinephelinae sp.,NA,Epinephelinae,2,41,3/18/2016,3,2016,1,5.5,0.22,4,0.22,0
alovo,Epinephelinae sp.,NA,Epinephelinae,1,5,4/12/2016,4,2016,4,2.33,4.01,1,4.01,0
alovo,Epinephelinae sp.,NA,Epinephelinae,1,28,2/22/2016,2,2016,1,4.2,0.04,1,0,0.04
alovo,Epinephelinae sp.,NA,Epinephelinae,8,9,9/23/2016,9,2016,1,5.75,0.845,1,0.845,0
alovo,Epinephelinae sp.,NA,Epinephelinae,2,3,12/9/2016,12,2016,2,3.75,0.605,1,0,0.605
alovo,Epinephelinae sp.,NA,Epinephelinae,2,14,4/20/2017,4,2017,2,6.42,0.365,1,0,0.365
alovo,Epinephelinae sp.,NA,Epinephelinae,7,4,3/26/2016,3,2016,4,6.83,1.261,1,1.261,0
alovo,Epinephelinae sp.,NA,Epinephelinae,1,17,9/19/2016,9,2016,2,3.57,2.775,2,2.775,0
alovo,Epinephelinae sp.,NA,Epinephelinae,1,11,7/10/2016,7,2016,3,3.5,0.385,1,0,0.385
alovo,Epinephelinae sp.,NA,Epinephelinae,2,3,4/13/2017,4,2017,2,3.83,0.28,1,0,0.28
alovo,Epinephelinae sp.,NA,Epinephelinae,2,16,4/20/2017,4,2017,2,7.58,0.19,1,0,0.19
alovo,Epinephelinae sp.,NA,Epinephelinae,2,22,11/25/2016,11,2016,2,4.98,1.455,1,0,1.455
alovo,Epinephelinae sp.,NA,Epinephelinae,7,2,3/26/2016,3,2016,4,6,1.12,1,1.12,0
alovo,Epinephelinae sp.,NA,Epinephelinae,2,13,4/20/2017,4,2017,2,7.58,0.085,1,0,0.085
alovo,Epinephelinae sp.,NA,Epinephelinae,2,3,7/20/2017,7,2017,2,3.17,9.04,1,0,9.04
alovo,Epinephelinae sp.,NA,Epinephelinae,1,34,10/26/2016,10,2016,1,5.18,1.898547619,1,1.898547619,0
amalombandana,Anguilla marmorata,NA,Anguilla,7,9,5/25/2016,5,2016,4,4,3.188,3,0,3.188
amalombandana,Anguilla marmorata,NA,Anguilla,2,16,4/20/2017,4,2017,2,7.58,0.715,1,0.715,0
amalombandana,Anguilla marmorata,NA,Anguilla,3,3,9/23/2016,9,2016,2,6.58,2.76,1,2.76,0
amalombandana,Anguilla marmorata,NA,Anguilla,2,3,9/14/2017,9,2017,2,6.9,1.983,1,0,1.983
amalombandana,Anguilla marmorata,NA,Anguilla,7,16,5/27/2017,5,2017,4,2,0.535,1,0,0.535
amalombandana,Anguilla marmorata,NA,Anguilla,3,3,9/26/2016,9,2016,2,3.5,3.21,1,3.21,0
amalombandana,Anguilla marmorata,NA,Anguilla,1,49,4/28/2016,4,2016,1,5.98,2.592625,2,2.592625,0
amalombandana,Anguilla marmorata,NA,Anguilla,1,2,9/17/2017,9,2017,2,4.17,1.983,1,0,1.983
amalombandana,Anguilla marmorata,NA,Anguilla,7,9,4/26/2017,4,2017,4,2.58,1.49,2,0,1.49
amalombandana,Anguilla marmorata,NA,Anguilla,7,9,4/26/2017,4,2017,4,2.58,2.58,6,0,2.58
amalombandana,Anguilla marmorata,NA,Anguilla,1,2,8/5/2016,8,2016,2,3.17,1.985,1,0,1.985
amalombandana,Anguilla marmorata,NA,Anguilla,4,23,7/10/2016,7,2016,4,1.5,1.455,3,0,1.455
amalombandana,Anguilla marmorata,NA,Anguilla,1,1,8/23/2016,8,2016,1,3.52,1.21,1,0,1.21
amalombandana,Anguilla marmorata,NA,Anguilla,7,2,7/19/2017,7,2017,4,2,0.565,1,0,0.565
amalombandana,Anguilla marmorata,NA,Anguilla,1,30,2/26/2016,2,2016,1,6.42,1.2963125,1,1.2963125,0
amalombandana,Anguilla marmorata,NA,Anguilla,1,27,5/29/2016,5,2016,1,2.9,1.32,2,0,1.32
amalombandana,Anguilla marmorata,NA,Anguilla,4,16,4/27/2016,4,2016,4,3.42,1.845,1,0,1.845
amalombandana,Anguilla marmorata,NA,Anguilla,1,29,9/30/2016,9,2016,1,3.83,1.355,1,0,1.355
amalombandana,Anguilla marmorata,NA,Anguilla,4,23,7/10/2016,7,2016,4,1.5,0.275,1,0,0.275
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,30,6/10/2016,6,2016,1,3.17,0.943734694,18,0.943734694,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,49,2/22/2016,2,2016,1,5.75,0.5,9,0,0.5
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,14,5/29/2016,5,2016,1,5.35,0.157289116,3,0.157289116,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,9,1/11/2017,1,2017,1,2.5,0.209718821,4,0.209718821,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,30,8/12/2016,8,2016,1,5.95,1.31074263,25,1.31074263,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,23,11/13/2016,11,2016,3,2.2,0.06,1,0,0.06
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,8,10,5/26/2016,5,2016,3,2.82,0.035,1,0,0.035
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,4,2/26/2016,2,2016,1,4.08,0.06,1,0,0.06
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,6,5/29/2016,5,2016,1,3.7,0.045,1,0.045,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,47,4/23/2016,4,2016,1,3.9,0.629156463,12,0.629156463,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,57,5/15/2017,5,2017,1,4.83,0.05,1,0,0.05
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,8,5,11/13/2016,11,2016,3,3.2,0.095,3,0.095,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,39,9/23/2016,9,2016,1,2.3,0.195,1,0,0.195
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,35,2/22/2016,2,2016,1,7.75,1.10102381,21,1.10102381,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,29,9/30/2016,9,2016,1,3.83,0.06,2,0,0.06
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,39,9/28/2016,9,2016,1,3.25,0.314578231,6,0.314578231,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,22,8/23/2016,8,2016,1,4.25,0.629156463,12,0.629156463,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,13,4/28/2016,4,2016,5,5,1.311,19,1.311,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,15,7/22/2016,7,2016,3,4.2,0.045,1,0,0.045
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,49,8/6/2016,8,2016,1,4.08,0.157289116,3,0.157289116,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,59,7/10/2016,7,2016,3,2.03,0.045,2,0,0.045
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,8,9,9/23/2016,9,2016,1,5.75,0.145,3,0,0.145
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,7,8/23/2016,8,2016,1,5.68,0.262148526,5,0.262148526,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,38,10/20/2016,10,2016,1,3.5,0.10485941,2,0.10485941,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,35,9/30/2016,9,2016,1,3.95,0.524297052,10,0.524297052,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,24,11/13/2016,11,2016,3,2.32,0.27,6,0.27,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,29,6/16/2016,6,2016,1,3.75,0.367007937,7,0.367007937,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,8,5,2/11/2017,2,2017,3,3.87,0.045,1,0.045,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,42,9/23/2016,9,2016,1,5.25,0.045,1,0.045,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,5,9/17/2016,9,2016,3,2.78,0.045,2,0,0.045
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,4,3/18/2016,3,2016,1,3.42,0.14,2,0.14,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,14,4/23/2016,4,2016,1,6.8,0.367007937,7,0.367007937,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,10,1/31/2017,1,2017,3,3.75,0.125,6,0,0.125
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,13,3/18/2016,3,2016,1,3.85,0.065,2,0,0.065
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,6,4/28/2016,4,2016,1,4.68,0.786445578,15,0.786445578,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,2,7/22/2016,7,2016,3,5.1,0.035,1,0,0.035
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,38,10/14/2016,10,2016,1,3.07,0.085,1,0.085,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,4,9/23/2016,9,2016,1,2.8,0.209718821,4,0.209718821,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,13,11/13/2016,11,2016,3,3.4,0.13,3,0,0.13
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,36,6/28/2016,6,2016,1,3.25,0.524297052,10,0.524297052,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,8,9,7/22/2016,7,2016,3,5.47,0.05,2,0,0.05
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,1,7/28/2016,7,2016,5,3.33,0.083,2,0,0.083
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,14,9/17/2016,9,2016,1,4.92,0.235,1,0.235,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,49,10/20/2016,10,2016,1,4,0.209718821,4,0.209718821,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,12,1/31/2017,1,2017,3,2.6,0.775,30,0.535,0.24
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,27,2/11/2017,2,2017,3,2.93,0.095,2,0,0.095
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,15,2/9/2016,2,2016,1,7,0.075,1,0,0.075
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,8,6/8/2017,6,2017,1,4.37,0.025,1,0,0.025
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,35,5/29/2016,5,2016,1,3.67,0.052429705,1,0.052429705,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,23,6/19/2016,6,2016,4,2.83,0.065,1,0.065,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,9,4/1/2016,4,2016,5,5,2,32,2,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,8,31,8/6/2016,8,2016,1,3.47,0.524297052,10,0.524297052,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,30,2/26/2016,2,2016,1,6.42,0.524297052,10,0.524297052,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,9,5/26/2016,5,2016,3,1.75,0.034,1,0,0.034
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,8,30,10/15/2016,10,2016,1,2.5,0.09,2,0.09,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,14,9/23/2016,9,2016,1,6.5,0.419437642,8,0.419437642,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,2,6/11/2016,6,2016,3,2.12,0.016,1,0,0.016
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,19,5/6/2016,5,2016,1,2.58,0.025,1,0,0.025
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,8,30,10/20/2016,10,2016,1,1,0.209718821,4,0.209718821,0
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,51,5/29/2016,5,2016,1,3.17,0.135,2,0,0.135
ambanivava,Polydactylus malagasyensis,NA,Polydactylus,1,33,2/22/2016,2,2016,1,6.72,0.367007937,7,0.367007937,0
